"Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual"
"Finland","Western Europe","7.8087000846863","0.031156305223703","7.8697662353516","7.747633934021","10.639266967773","0.9543297290802","71.900825500488","0.94917219877243","-0.059482019394636","0.19544458389282","1.9723167419434","1.2851895093918","1.4995259046555","0.96127140522003","0.66231673955917","0.15967044234276","0.47785726189613","2.7628350257874"
"Denmark","Western Europe","7.6455998420715","0.033492285758257","7.7112445831299","7.5799551010132","10.774001121521","0.9559907913208","72.402503967285","0.95144426822662","0.066201776266098","0.16848945617676","1.9723167419434","1.3269485235214","1.5034492015839","0.97933256626129","0.66503989696503","0.2427933961153","0.49526032805443","2.432740688324"
"Switzerland","Western Europe","7.5598998069763","0.035014171153307","7.6285276412964","7.4912719726562","10.979932785034","0.942846596241","74.102447509766","0.92133665084839","0.10591103881598","0.30372843146324","1.9723167419434","1.3907742500305","1.4724034070969","1.0405331850052","0.62895447015762","0.2690557539463","0.40794590115547","2.3502674102783"
"Iceland","Western Europe","7.504499912262","0.059615861624479","7.621346950531","7.3876528739929","10.772559165955","0.97466957569122","73","0.94889187812805","0.24694421887398","0.71170973777771","1.9723167419434","1.3265016078949","1.547567486763","1.0008434057236","0.66198074817657","0.36233022809029","0.144540771842","2.4606881141663"
"Norway","Western Europe","7.4879999160767","0.034837383776903","7.5562810897827","7.4197187423706","11.087803840637","0.95248657464981","73.200782775879","0.95575028657913","0.13453263044357","0.26321819424629","1.9723167419434","1.4242073297501","1.4951725006104","1.0080718994141","0.67020088434219","0.28798508644104","0.43410056829453","2.1682662963867"
"Netherlands","Western Europe","7.4489002227783","0.027791749686003","7.5033721923828","7.3944282531738","10.812711715698","0.9391388297081","72.300918579102","0.90854781866074","0.20761243999004","0.36471712589264","1.9723167419434","1.3389463424683","1.4636459350586","0.97567534446716","0.61362648010254","0.33631756901741","0.36856976151466","2.352117061615"
"Sweden","Western Europe","7.3534998893738","0.036234196275473","7.4245190620422","7.2824807167053","10.758793830872","0.9263111948967","72.600769042969","0.93914419412613","0.11161462217569","0.2508801817894","1.9723167419434","1.3222352266312","1.4333477020264","0.98647046089172","0.6502977013588","0.27282789349556","0.44206637144089","2.2462992668152"
"New Zealand","North America and ANZ","7.2996001243591","0.039465468376875","7.3769526481628","7.2222476005554","10.500943183899","0.94911897182465","73.202629089355","0.93621748685837","0.19159807264805","0.22113884985447","1.9723167419434","1.2423179149628","1.4872183799744","1.0081382989883","0.64678990840912","0.32572621107101","0.46126827597618","2.1281080245972"
"Austria","Western Europe","7.2941999435425","0.033365163952112","7.3595957756042","7.2288041114807","10.742823600769","0.9280458688736","73.002502441406","0.89998948574066","0.085429221391678","0.49995487928391","1.9723167419434","1.3172855377197","1.4374449253082","1.0009335279465","0.60336887836456","0.25550976395607","0.28125613927841","2.3984460830688"
"Luxembourg","Western Europe","7.2375001907349","0.030851794406772","7.2979698181152","7.1770305633545","11.450680732727","0.90691220760345","72.599998474121","0.90563642978668","-0.0046205879189074","0.36708429455757","1.9723167419434","1.5366760492325","1.3875284194946","0.98644268512726","0.61013704538345","0.19595392048359","0.3670414686203","2.1537003517151"
